X1,Thai_name,Thai_script,English_name,Image,Region,Description,Description2,major_grouping,minor_grouping
13,Kaeng khilek,แกงขี้เหล็ก,,,,"['This creamy curry has as its main ingredient the leaves and flower buds of the ', 'Senna siamea', ' tree (', 'khilek', ' in Thai).\n']",This creamy curry has as its main ingredient the leaves and flower buds of the  Senna siamea  tree ( khilek  in Thai).,Shared dishes,Curries
14,Kaeng khua,แกงคั่ว,,,Central,"['A type of Thai curry which uses a larger amount of turmeric in the paste than is usually the norm. A popular preparation is with prawns and pineapple. This particular version is called ', 'kaeng khua het fang', ' (', 'Thai', ': ', 'แกงคั่วเห็ดฟาง', '): with ', 'straw mushrooms', '.\n']",A type of Thai curry which uses a larger amount of turmeric in the paste than is usually the norm. A popular preparation is with prawns and pineapple. This particular version is called  kaeng khua het fang  ( Thai :  แกงคั่วเห็ดฟาง ): with  straw mushrooms .,Shared dishes,Curries
15,Kaeng khua mu bai chamuang,แกงคั่วหมูใบชะมวง,,,Central,"['A thick central Thai curry with pork and the leaves of ', 'chamuang', ' or ', 'Garcinia', ' cowa', ', a tree related to the ', 'mangosteen', '.\n']","A thick central Thai curry with pork and the leaves of  chamuang  or  Garcinia  cowa , a tree related to the  mangosteen .",Shared dishes,Curries
16,Kaeng kradang,แกงกระด้าง,,,North,"['A pork curry ', 'aspic', ' (jelly) from northern Thailand which is eaten cold.\n']",A pork curry  aspic  (jelly) from northern Thailand which is eaten cold.,Shared dishes,Curries
17,Kaeng lueang,แกงเหลือง,,,South,"['A sour spicy curry that does not contain coconut milk and is yellow in color due to the use of ', 'turmeric', ', often with fish and vegetables, such as ', 'bamboo shoots', ' as in the version in the photo. In southern Thailand it is called ', 'kaeng som', ' but due to it being different from the central Thai ', 'kaeng som', ', it is called ', 'kaeng lueang', ' (""yellow curry"") elsewhere. It should not be confused with what is known as ""', 'yellow curry', '"" outside of Thailand.\n']","A sour spicy curry that does not contain coconut milk and is yellow in color due to the use of  turmeric , often with fish and vegetables, such as  bamboo shoots  as in the version in the photo. In southern Thailand it is called  kaeng som  but due to it being different from the central Thai  kaeng som , it is called  kaeng lueang  (""yellow curry"") elsewhere. It should not be confused with what is known as "" yellow curry "" outside of Thailand.",Shared dishes,Curries
18,Kaeng matsaman,แกงมัสมั่น,Massaman curry,,South,"['A rich, thick curry containing coconut milk, usually of stewed beef or, as in the image, chicken. This curry contains roasted dried spices that are rarely found in other Thai curries. The name ', 'kaeng matsaman', ' means ""Muslim curry"", with the spices believed to have been brought to Thailand by Muslim traders in the 17th century.\n']","A rich, thick curry containing coconut milk, usually of stewed beef or, as in the image, chicken. This curry contains roasted dried spices that are rarely found in other Thai curries. The name  kaeng matsaman  means ""Muslim curry"", with the spices believed to have been brought to Thailand by Muslim traders in the 17th century.",Shared dishes,Curries
19,Kaeng om,แกงอ่อม,,,North,"['A spicy ', 'Lanna', ' ""curry"" with meat, and without any coconut milk. The version shown in the photo is with beef.\n']","A spicy  Lanna  ""curry"" with meat, and without any coconut milk. The version shown in the photo is with beef.",Shared dishes,Curries
20,Kaeng pa,แกงป่า,Jungle curry,,North,"['Traditionally made with ', 'wild boar', ', most often pork or chicken is used nowadays. This curry, as most curries from northern Thailand, does not contain coconut milk.\n']","Traditionally made with  wild boar , most often pork or chicken is used nowadays. This curry, as most curries from northern Thailand, does not contain coconut milk.",Shared dishes,Curries
21,Kaeng phak bung sai pla,แกงผักบุ้งใส่ปลา,,,North,"['A northern Thai curry made with ""', 'morning glory', '"" and catfish.\n']","A northern Thai curry made with "" morning glory "" and catfish.",Shared dishes,Curries
22,Kaeng phak kat cho kraduk mu,แกงผักกาดจอกระดูกหมู,,,North,"['A somewhat spicy soup/curry (', 'kaeng', ') made with cabbage (', 'phak kat cho', ', a variety of ', 'Brassica rapa chinensis', ') and pork ribs (', 'kraduk mu', '). As is usual with Northern Thai ""curries"", it does not contain any coconut milk.\n']","A somewhat spicy soup/curry ( kaeng ) made with cabbage ( phak kat cho , a variety of  Brassica rapa chinensis ) and pork ribs ( kraduk mu ). As is usual with Northern Thai ""curries"", it does not contain any coconut milk.",Shared dishes,Curries
23,Kaeng phak lueat,แกงผักเลือด,,,North,"['A northern Thai curry made with the leaves of the ', 'Ficus virens', '. This version is with pork.\n']",A northern Thai curry made with the leaves of the  Ficus virens . This version is with pork.,Shared dishes,Curries
24,Kaeng phak siangda,แกงผักเซียงดา,,,North,"['A northern Thai curry made with the leaves of the vine ', 'Gymnema', ' inodorum', ' and dried fish. In this particular version, ', 'snakehead fish', ' is used.\n']","A northern Thai curry made with the leaves of the vine  Gymnema  inodorum  and dried fish. In this particular version,  snakehead fish  is used.",Shared dishes,Curries
25,Kaeng phak wan pa,แกงผักหวานป่า,,,North,"['A Northern Thai curry made with the leaves of the woody plant ', 'Melientha', ' suavis', ' Pierre, glass noodles, and dried fish.\n']","A Northern Thai curry made with the leaves of the woody plant  Melientha  suavis  Pierre, glass noodles, and dried fish.",Shared dishes,Curries
26,Kaeng phanaeng,แกงพะแนง,Phanaeng curry,,Central,"['A so-called dry, Indian influenced coconut curry with beef (', 'phanaeng nuea', ', ', 'Thai', ': ', 'พะแนงเนื้อ', '), chicken, pork or seafood such as soft shell crab.\n']","A so-called dry, Indian influenced coconut curry with beef ( phanaeng nuea ,  Thai :  พะแนงเนื้อ ), chicken, pork or seafood such as soft shell crab.",Shared dishes,Curries
27,Kaeng phet,แกงเผ็ด,Red curry,,Central,"['A spicy red curry made with dried chili peppers, containing coconut milk. It can be made with different meats, seafood or tofu, in combination with (several types of) eggplant(s), and sometimes other vegetables. Fresh green peppercorns and Thai basil are often added to enhance the flavor.\n']","A spicy red curry made with dried chili peppers, containing coconut milk. It can be made with different meats, seafood or tofu, in combination with (several types of) eggplant(s), and sometimes other vegetables. Fresh green peppercorns and Thai basil are often added to enhance the flavor.",Shared dishes,Curries
28,Kaeng phet pet yang,แกงเผ็ดเป็ดย่าง,Red curry,,Central,['Red curry with roast duck is the quintessential mix of the Thai (red curry) and Chinese (red roast duck) cuisines. This dish often also contains grapes and/or pineapple.\n'],Red curry with roast duck is the quintessential mix of the Thai (red curry) and Chinese (red roast duck) cuisines. This dish often also contains grapes and/or pineapple.,Shared dishes,Curries
29,Kaeng pli,แกงปลี,,,North,['A northern Thai curry made with chopped banana flower and pork.\n'],A northern Thai curry made with chopped banana flower and pork.,Shared dishes,Curries
30,Kaeng som,แกงส้ม,,,Central,"['A hot and sour Thai curry/soup made with tamarind paste and fish (often ', 'pla chon', ' [""', 'Snakehead fish', '""]). ', 'Kaeng som cha-om thot', ' (', 'Thai', ': ', 'แกงส้มชะอมทอด', ') is a version of the dish which features deep-fried ', 'cha-om', ' (Acacia leaves) as one of its ingredients.\n']","A hot and sour Thai curry/soup made with tamarind paste and fish (often  pla chon  ["" Snakehead fish ""]).  Kaeng som cha-om thot  ( Thai :  แกงส้มชะอมทอด ) is a version of the dish which features deep-fried  cha-om  (Acacia leaves) as one of its ingredients.",Shared dishes,Curries
31,Kaeng tai pla,แกงไตปลา,,,South,"['A thick, spicy vegetable curry made with turmeric, a sauce made from fish innards (', 'tai pla', '), and shrimp paste, containing roasted fish, bamboo shoots, and eggplant.\n']","A thick, spicy vegetable curry made with turmeric, a sauce made from fish innards ( tai pla ), and shrimp paste, containing roasted fish, bamboo shoots, and eggplant.",Shared dishes,Curries
32,Kaeng thepho,แกงเทโพ,,,Central,"['One of the dishes mentioned in the poem of King Rama II on Thai dishes, it is a central Thai curry originally made with the fatty belly part of the ', 'Pangasius', ' Larnaudii', ' (', 'thae pho', '; shark catfish) but now more often belly pork is used as is the case with the version shown in the photo. The other main ingredient in this curry is ', 'phak bung Chin', ' (Chinese ', 'water spinach', ').\n']","One of the dishes mentioned in the poem of King Rama II on Thai dishes, it is a central Thai curry originally made with the fatty belly part of the  Pangasius  Larnaudii  ( thae pho ; shark catfish) but now more often belly pork is used as is the case with the version shown in the photo. The other main ingredient in this curry is  phak bung Chin  (Chinese  water spinach ).",Shared dishes,Curries
33,Kaeng tun,แกงตูน,,,,"['A northern Thai curry made with the stalks of the ', 'Colocasia gigantea', ' and catfish. ', 'Colocasia gigantea', ' is called ', 'tun', ' (', 'Thai', ': ', 'ตูน', ') in the northern Thai language and ', 'khun', ' (', 'Thai', ': ', 'คูน', ') in standard Thai.\n']",A northern Thai curry made with the stalks of the  Colocasia gigantea  and catfish.  Colocasia gigantea  is called  tun  ( Thai :  ตูน ) in the northern Thai language and  khun  ( Thai :  คูน ) in standard Thai.,Shared dishes,Curries
34,Kaeng yot maphrao on sai kai,แกงยอดมะพร้าวอ่อนใส่ไก่,,,North,"['A northern Thai curry made with ""', 'coconut heart', '"" and chicken. The taste of ""coconut heart"" is similar to bamboo shoots but much sweeter.\n']","A northern Thai curry made with "" coconut heart "" and chicken. The taste of ""coconut heart"" is similar to bamboo shoots but much sweeter.",Shared dishes,Curries
35,Kaeng yuak,แกงหยวก,,,North,['A northern Thai curry made with the tender core of the trunk of the banana plant.\n'],A northern Thai curry made with the tender core of the trunk of the banana plant.,Shared dishes,Curries
36,Khua kling,คั่วกลิ้ง,,,South,"['A very spicy, dry fried curry made with chopped meat (usually beef, chicken, pork, or lamb) served with a large amount of shredded fresh kaffir lime leaves.\n']","A very spicy, dry fried curry made with chopped meat (usually beef, chicken, pork, or lamb) served with a large amount of shredded fresh kaffir lime leaves.",Shared dishes,Curries
37,Khua kraduk,คั่วกระดูกหมู,,,South,"['A very spicy and, for Thai standards, ""dry"" curry with pork ribs and it is a Southern Thai speciality.\n']","A very spicy and, for Thai standards, ""dry"" curry with pork ribs and it is a Southern Thai speciality.",Shared dishes,Curries
38,Yam chin kai,ยำจิ๊นไก่,,,North,['A curry dish from Northern Thailand containing chicken. The version in the image also contains sliced banana flower.\n'],A curry dish from Northern Thailand containing chicken. The version in the image also contains sliced banana flower.,Shared dishes,Curries
39,Kaeng ranchuan,แกงรัญจวน,,,Central,"['Kaeng ranchuan', ' is a beef curry and fermented shrimp paste chili sauce, similar to ', 'tom yam', '. It was created by chef in royal households from the leftovers and turned in new dish by combining pieces of meat and leftover sauce especially ', 'nam phrik kapi', '. The most popular of all dip is ', 'nam phrik kapi', ', a very delicious sauce of Thailand because this sauce can be eaten with everything. Many Thai chefs reformed ', 'kaeng ranchuan', ' to restaurants after it was mentioned by culinary authority ML Nueang Ninrat, in a memoir explaining her life during the reign of King Rama V and VI. The people misunderstand about the origin and preparation of ', 'kaeng ranchuan', ' because of famous TV series that do the wrong method of this dish and make people remember that this is the real ', 'kaeng ranchuan', ' preparation method. So, the real ', 'kaeng ranchuan', ' is in ML Ninrat book ""Life in the Palace"" she tells how her grandmother, the princess Sabai Ninrat created this dish. At the end of dinner there was leftovers so she asked her assistant to separate the meat from chili and basil. Then, she mixed it into a broth and added leftover of Nam prhrik kapi, so this is called the real ', 'kaeng ranchuan', '.\n']","Kaeng ranchuan  is a beef curry and fermented shrimp paste chili sauce, similar to  tom yam . It was created by chef in royal households from the leftovers and turned in new dish by combining pieces of meat and leftover sauce especially  nam phrik kapi . The most popular of all dip is  nam phrik kapi , a very delicious sauce of Thailand because this sauce can be eaten with everything. Many Thai chefs reformed  kaeng ranchuan  to restaurants after it was mentioned by culinary authority ML Nueang Ninrat, in a memoir explaining her life during the reign of King Rama V and VI. The people misunderstand about the origin and preparation of  kaeng ranchuan  because of famous TV series that do the wrong method of this dish and make people remember that this is the real  kaeng ranchuan  preparation method. So, the real  kaeng ranchuan  is in ML Ninrat book ""Life in the Palace"" she tells how her grandmother, the princess Sabai Ninrat created this dish. At the end of dinner there was leftovers so she asked her assistant to separate the meat from chili and basil. Then, she mixed it into a broth and added leftover of Nam prhrik kapi, so this is called the real  kaeng ranchuan .",Shared dishes,Curries
0,Kai tun ya chin,ไก่ตุ๋นยาจีน,,,,"['The name literally translates to ""chicken stewed with Chinese medicine"". It contains medicinal herbs, one of them the dried fruit of the ', 'wolfberry', ', a.k.a. goji berries (', 'Thai', ': ', 'เก๋ากี้', '; ', 'kaoki', '). The dish is of Chinese origin.\n']","The name literally translates to ""chicken stewed with Chinese medicine"". It contains medicinal herbs, one of them the dried fruit of the  wolfberry , a.k.a. goji berries ( Thai :  เก๋ากี้ ;  kaoki ). The dish is of Chinese origin.",Shared dishes,Soups
1,Nam sup,น้ำซุป,,,,"['This is a clear broth, usually served together with ', 'khao man kai', ' (chicken rice), ', 'khao mok', ' (Thai ', 'biryani', '), ', 'khao kha mu', ' (pork trotter simmered in soy sauce served with rice), ', 'khao na pet', ' (red roast duck on rice), or ', 'khao mu daeng', ' (', 'red roast pork', ' on rice). The broth can be made from chicken and/or pork, or it can be wholly vegetarian. The version served with duck is usually made from duck bones. It will often contain sliced ', 'hua chai thao', ' (white ', 'radish', '; also known as ', 'phak kat hua', ' in Thai) and ', 'hua chai po khem', ' (a Chinese ingredient of dried and salted chopped turnip). Garlic, ginger, and pepper are often used as additional ingredients. It is most often garnished with fresh coriander leaves and/or spring onion.\n']","This is a clear broth, usually served together with  khao man kai  (chicken rice),  khao mok  (Thai  biryani ),  khao kha mu  (pork trotter simmered in soy sauce served with rice),  khao na pet  (red roast duck on rice), or  khao mu daeng  ( red roast pork  on rice). The broth can be made from chicken and/or pork, or it can be wholly vegetarian. The version served with duck is usually made from duck bones. It will often contain sliced  hua chai thao  (white  radish ; also known as  phak kat hua  in Thai) and  hua chai po khem  (a Chinese ingredient of dried and salted chopped turnip). Garlic, ginger, and pepper are often used as additional ingredients. It is most often garnished with fresh coriander leaves and/or spring onion.",Shared dishes,Soups
2,Tom chuet,แกงจืด,Clear vegetable soup,,,"['A light vegetable, chicken or pork broth with vegetables and celery, to which minced pork, soft tofu, seaweed, ', 'glass noodles', ', and mushroom can be added. This soup can also be called ', 'Kaeng chuet', ' (', 'Thai', ': ', 'แกงจืดวุ้นเส้น', ').\n']","A light vegetable, chicken or pork broth with vegetables and celery, to which minced pork, soft tofu, seaweed,  glass noodles , and mushroom can be added. This soup can also be called  Kaeng chuet  ( Thai :  แกงจืดวุ้นเส้น ).",Shared dishes,Soups
3,Tom kha kai,ต้มข่าไก่,Coconut soup with chicken,,Central,"['A mild to spicy soup with coconut milk, ', 'galangal', ' (', 'kha', ') and chicken. Mushrooms can be added to the chicken or substitute it.\n']","A mild to spicy soup with coconut milk,  galangal  ( kha ) and chicken. Mushrooms can be added to the chicken or substitute it.",Shared dishes,Soups
4,Tom khlong,ต้มโคล้ง,,,,"['It is a spicy and sour soup somewhat similar to Tom yam. The sourness however does not derive from lime juice but through the use of tamarind juice. The version in the image contains fried smoked fish, tomato, and mushrooms.\n']","It is a spicy and sour soup somewhat similar to Tom yam. The sourness however does not derive from lime juice but through the use of tamarind juice. The version in the image contains fried smoked fish, tomato, and mushrooms.",Shared dishes,Soups
5,Tom mara,ต้มมะระ,Bitter melon soup,,,"['A clear soup made with ', 'bitter melon', ' (also known as bitter gourd; ', 'Momordica charantia', ') of Chinese origin. It is often stuffed with minced pork or with minced pork mixed with glass noodles as on this image. The full name of the latter version would then be ', 'tom mara yat sai mu sap wunsen', '.\n']",A clear soup made with  bitter melon  (also known as bitter gourd;  Momordica charantia ) of Chinese origin. It is often stuffed with minced pork or with minced pork mixed with glass noodles as on this image. The full name of the latter version would then be  tom mara yat sai mu sap wunsen .,Shared dishes,Soups
6,Tom phak kat dong mu,ต้มผักกาดดองหมู,,,,"['A soup of boiled ', 'pickled', ' Chinese cabbage and pork ribs. This dish is Chinese in origin.\n']",A soup of boiled  pickled  Chinese cabbage and pork ribs. This dish is Chinese in origin.,Shared dishes,Soups
7,Tom saep,ต้มแซ่บ,Hot and sour Isan soup,,Northeast,"['A spicy soup made with stewed meat (usually pork, chicken or beef), roasted fresh herbs and spices, ground roasted rice, and generous amounts of lime juice and fresh herbs just before serving.\n']","A spicy soup made with stewed meat (usually pork, chicken or beef), roasted fresh herbs and spices, ground roasted rice, and generous amounts of lime juice and fresh herbs just before serving.",Shared dishes,Soups
8,Tom som kraduk mu,ต้มส้มกระดูกหมู,,,,"['Tom som', ' translates to ""sour soup"". This particular version is a basic one with only pork ribs (', 'kraduk mu', ') and it derives its sourness from lime juice. Other types of ', 'tom som', ' can also use tamarind for acidity, or a combination of both lime and tamarind, and can be made from a multitude of ingredients: meats as well as seafood, and vegetables.\n']","Tom som  translates to ""sour soup"". This particular version is a basic one with only pork ribs ( kraduk mu ) and it derives its sourness from lime juice. Other types of  tom som  can also use tamarind for acidity, or a combination of both lime and tamarind, and can be made from a multitude of ingredients: meats as well as seafood, and vegetables.",Shared dishes,Soups
9,Tom yam,ต้มยำ,Tom yum soup,,Central,"['A hot and sour broth made from ', 'lemon grass', ', ', 'galangal', ', ', 'kaffir lime', ' leaves, dried chili peppers, and lime juice, usually with prawns (', 'Tom yam kung', ') or chicken (', 'Tom yam kai', ').', '[1]', '\n']","A hot and sour broth made from  lemon grass ,  galangal ,  kaffir lime  leaves, dried chili peppers, and lime juice, usually with prawns ( Tom yam kung ) or chicken ( Tom yam kai ). [1] ",Shared dishes,Soups
10,Tom yuea phai,ต้มเยื่อไผ่,,,,"['It is a clear broth with, amongst other ingredients, ', 'yuea phai', ' (""bamboo fungus""; ', 'Phallus indusiatus', ')\n']","It is a clear broth with, amongst other ingredients,  yuea phai  (""bamboo fungus"";  Phallus indusiatus )",Shared dishes,Soups
0,Khao yam,ข้าวยำ,,,South,"['A type of Thai rice salad. Here it is shown unmixed, as served at a southern Thai eatery in Korat. This particular version used pomelo, bean sprouts, lime leaves, and toasted coconut flakes, and dried shrimp flakes with the rice.\n']","A type of Thai rice salad. Here it is shown unmixed, as served at a southern Thai eatery in Korat. This particular version used pomelo, bean sprouts, lime leaves, and toasted coconut flakes, and dried shrimp flakes with the rice.",Shared dishes,Salads
1,Koi pla,ก้อยปลา,,,Northeast,"['Minced or finely chopped raw fish in spicy salad dressing. It is a popular raw fish dish in ', 'Isan', ' and a common source of infection with ', 'Opisthorchis viverrini', ' (Southeast Asian ', 'liver fluke', ').\n']",Minced or finely chopped raw fish in spicy salad dressing. It is a popular raw fish dish in  Isan  and a common source of infection with  Opisthorchis viverrini  (Southeast Asian  liver fluke ).,Shared dishes,Salads
2,Kung chae nampla,กุ้งแช่น้ำปลา,,,,"['A Thai salad made from fresh raw shrimp soaked in Thai fish sauce and served with sliced ', 'bitter gourd', ', mint, and a spicy sauce made with raw garlic, chillies, lime juice, sugar, and fresh cilantro/coriander.\n']","A Thai salad made from fresh raw shrimp soaked in Thai fish sauce and served with sliced  bitter gourd , mint, and a spicy sauce made with raw garlic, chillies, lime juice, sugar, and fresh cilantro/coriander.",Shared dishes,Salads
3,Kung ten,กุ้งเต้น,Dancing shrimp,,Northeast,"['A yam-style salad made with raw, and often still alive and ""dancing"", ', 'freshwater shrimp', '. Shrimp of the species ', 'Macrobrachium', ' lanchesteri', ' are often used.', '[2]', '\n']","A yam-style salad made with raw, and often still alive and ""dancing"",  freshwater shrimp . Shrimp of the species  Macrobrachium  lanchesteri  are often used. [2] ",Shared dishes,Salads
4,Lap Isan,ลาบอีสาน,Larb,,Northeast,"['Northeastern style ', 'lap', ' is a spicy and sour salad of minced raw or cooked meat (mainly pork, chicken or duck), shallots or onions, lime juice, fish sauce, chillies, ground roasted rice and mint.\n']","Northeastern style  lap  is a spicy and sour salad of minced raw or cooked meat (mainly pork, chicken or duck), shallots or onions, lime juice, fish sauce, chillies, ground roasted rice and mint.",Shared dishes,Salads
5,Lap Lanna,ลาบล้านนา,,,North,"['Northern Thai ', 'lap', ' is completely different from ', 'lap', ' from northeastern Thailand. Northern Thai ', 'lap', ' is made by mixing raw or cooked minced meat (mainly pork, beef, chicken or fish) with an elaborate mix of dry ', 'spices', ' and herbs. The northern Thai ', 'lap', ' does not contain lime juice or fish sauce. The version in the image is ', 'lap khua', ', meaning that the meat has been fried.\n']","Northern Thai  lap  is completely different from  lap  from northeastern Thailand. Northern Thai  lap  is made by mixing raw or cooked minced meat (mainly pork, beef, chicken or fish) with an elaborate mix of dry  spices  and herbs. The northern Thai  lap  does not contain lime juice or fish sauce. The version in the image is  lap khua , meaning that the meat has been fried.",Shared dishes,Salads
6,Lap nuea dip,ลาบเนื้อดิบ,,,North,"['A northern Thai ', 'lap', '-style salad of sliced raw beef (the version in the image also shows slices of raw beef ', 'tripe', ') and ground, dried spices.\n']","A northern Thai  lap -style salad of sliced raw beef (the version in the image also shows slices of raw beef  tripe ) and ground, dried spices.",Shared dishes,Salads
7,Mu nam tok,หมูน้ำตก,,,Northeast,"['A very spicy salad made with pork (', 'mu', ') and somewhat identical to ', 'lap', ', except that the meat is cut into thin strips rather than minced.\n']","A very spicy salad made with pork ( mu ) and somewhat identical to  lap , except that the meat is cut into thin strips rather than minced.",Shared dishes,Salads
8,Naem khluk,แหนมคลุก,,,,"['Naem sausage', ' (pork fermented with sticky rice)', '[3]', ' is mixed with boiled rice and then deep-fried. The salad is made by crumbling the deep-fried balls and mixing in sliced shallots, dried chillies, fish sauce and lime juice. It is served with raw vegetables and herbs.\n']","Naem sausage  (pork fermented with sticky rice) [3]  is mixed with boiled rice and then deep-fried. The salad is made by crumbling the deep-fried balls and mixing in sliced shallots, dried chillies, fish sauce and lime juice. It is served with raw vegetables and herbs.",Shared dishes,Salads
9,Nuea yang nam tok,เนื้อย่างน้ำตก,,,Northeast,"['With a similar ""dressing"" as ', 'larb', ', this dish is made with sliced grilled beef. ', '""Nam tok""', ' means ""waterfall"" in Thai and it is thought that the meat juices should run out from the meat like a waterfall.\n']","With a similar ""dressing"" as  larb , this dish is made with sliced grilled beef.  ""Nam tok""  means ""waterfall"" in Thai and it is thought that the meat juices should run out from the meat like a waterfall.",Shared dishes,Salads
10,Phla kung,พล่ากุ้ง,,,,"['A spicy salad of prawns, sliced lemongrass, ', 'culantro', ' and/or other herbs, and ', 'shallots', ', with a dressing of lime juice, sweet chilli paste (', 'Nam phrik phao', ' – optional), fish sauce, pounded garlic and ', ""bird's eye chili"", '. The version shown in the image also contained minced pork.\n']","A spicy salad of prawns, sliced lemongrass,  culantro  and/or other herbs, and  shallots , with a dressing of lime juice, sweet chilli paste ( Nam phrik phao  – optional), fish sauce, pounded garlic and  bird's eye chili . The version shown in the image also contained minced pork.",Shared dishes,Salads
11,Phla mu,พล่าหมู,,,,"['A spicy salad of sliced grilled pork, sliced lemongrass, mint, ', 'culantro', ' (optional) and ', 'shallots', ', with a dressing of lime juice, sweet chilli paste (', 'Nam phrik phao', ' – optional), fish sauce, pounded garlic and ', ""bird's eye chili"", '.\n']","A spicy salad of sliced grilled pork, sliced lemongrass, mint,  culantro  (optional) and  shallots , with a dressing of lime juice, sweet chilli paste ( Nam phrik phao  – optional), fish sauce, pounded garlic and  bird's eye chili .",Shared dishes,Salads
12,Phla nuea makhuea on,พล่าเนื้อมะเขืออ่อน,,,,"['A Thai salad made with medium rare beef and Thai aubergines. The sliced, raw eggplants are mixed in with the warm beef to soften them (', 'makhuea on', ' means ""soft aubergine""). This particular version of the salad was served with a ', 'nam tok', '-style dressing.\n']","A Thai salad made with medium rare beef and Thai aubergines. The sliced, raw eggplants are mixed in with the warm beef to soften them ( makhuea on  means ""soft aubergine""). This particular version of the salad was served with a  nam tok -style dressing.",Shared dishes,Salads
13,Sa nuea,ส้าเนื้อ,,,North,"['A northern Thai speciality, made with blanched medium rare, thinly sliced beef. Other ingredients for this dish are the elaborate ', 'phrik lap Lanna', ' spices-and-chilli mix, onions, some broth, and fresh herbs.\n']","A northern Thai speciality, made with blanched medium rare, thinly sliced beef. Other ingredients for this dish are the elaborate  phrik lap Lanna  spices-and-chilli mix, onions, some broth, and fresh herbs.",Shared dishes,Salads
14,Sa nuea sadung,ส้าเนื้อสะดุ้ง,,,North,"['A northern Thai speciality, made with sauteed medium rare, thinly sliced beef. Other ingredients for this dish are the elaborate ', 'phrik lap Lanna', ' spices-and-chilli mix, onions, some broth, and fresh herbs such as ', 'kraphao', ' (holy basil) or ', 'phak phai', ' (', 'Vietnamese coriander', ') although this particular version was made using ', 'saranae', ' (', 'spearmint', '). This particular version also contained ', 'nam phia', ', the partially digested contents from the first of the four stomachs of cattle, for added flavour.', '[4]', '\n']","A northern Thai speciality, made with sauteed medium rare, thinly sliced beef. Other ingredients for this dish are the elaborate  phrik lap Lanna  spices-and-chilli mix, onions, some broth, and fresh herbs such as  kraphao  (holy basil) or  phak phai  ( Vietnamese coriander ) although this particular version was made using  saranae  ( spearmint ). This particular version also contained  nam phia , the partially digested contents from the first of the four stomachs of cattle, for added flavour. [4] ",Shared dishes,Salads
15,Som tam khai khem,ส้มตำไข่เค็ม,,,,"['A variation of the standard papaya ', 'som tam', ' with salted eggs.\n']",A variation of the standard papaya  som tam  with salted eggs.,Shared dishes,Salads
16,Som tam pla ra,ส้มตำปลาร้า,,,Northeast,"['Regarded as the original ', 'som tam', ', this version of green papaya salad contains ', 'pla ra', ' (a sauce of fermented fish), and very often also brined rice paddy crabs, and ', 'makok', ' (the fruit of the ', 'Spondias mombin', ') besides the usual ingredients for ', 'som tam', '. It does not however contain peanuts. It is also known as ', 'som tam Lao', ' or, for short, as just ', 'tam Lao', ' after the ', 'Lao people', ' of ', 'Laos', ' and of the ', 'Isan', ' region of Thailand.\n']","Regarded as the original  som tam , this version of green papaya salad contains  pla ra  (a sauce of fermented fish), and very often also brined rice paddy crabs, and  makok  (the fruit of the  Spondias mombin ) besides the usual ingredients for  som tam . It does not however contain peanuts. It is also known as  som tam Lao  or, for short, as just  tam Lao  after the  Lao people  of  Laos  and of the  Isan  region of Thailand.",Shared dishes,Salads
17,Som tam pu,ส้มตำปู,,,,"['Green papaya salad', ' with brined rice paddy crabs.\n']",Green papaya salad  with brined rice paddy crabs.,Shared dishes,Salads
18,Som tam Thai,ส้มตำไทย,Thai papaya salad,,Central,"['Som tam Thai', ' with peanuts, dried shrimp and palm sugar, is the central Thai variant of green papaya salad.\n']","Som tam Thai  with peanuts, dried shrimp and palm sugar, is the central Thai variant of green papaya salad.",Shared dishes,Salads
19,Tam khanun,ตำขนุน,,,North,"['A spicy Northern Thai salad made with boiled green whole ', 'jackfruit', ' which has been mashed with a mortar and pestle, and minced pork. It is normally eaten with sticky rice and (as seen on the image) with ', 'khaep mu', ' (pork cracklings).\n']","A spicy Northern Thai salad made with boiled green whole  jackfruit  which has been mashed with a mortar and pestle, and minced pork. It is normally eaten with sticky rice and (as seen on the image) with  khaep mu  (pork cracklings).",Shared dishes,Salads
20,Tam makhuea,ตำมะเขือ,,,North,"['Chopped and then pounded grilled long green eggplant (', 'makhuea yao', '; ', 'Thai', ': ', 'มะเขือยาว', ""), grilled green chili peppers, raw garlic and salt put in a banana leaf package mixed together with hard-boiled egg. It's a speciality of Northern Thailand where it is traditionally eaten with "", 'sticky rice', '.\n']","Chopped and then pounded grilled long green eggplant ( makhuea yao ;  Thai :  มะเขือยาว ), grilled green chili peppers, raw garlic and salt put in a banana leaf package mixed together with hard-boiled egg. It's a speciality of Northern Thailand where it is traditionally eaten with  sticky rice .",Shared dishes,Salads
21,Tam mamuang,ตำมะม่วง,,,,"['A ', 'som tam', ' style salad with tangy unripe ', 'mango', ' ""au Julienne"" as its main ingredient. The version in the image contains ', 'pla haeng thot', ', deep-fried sun-dried anchovies.\n']","A  som tam  style salad with tangy unripe  mango  ""au Julienne"" as its main ingredient. The version in the image contains  pla haeng thot , deep-fried sun-dried anchovies.",Shared dishes,Salads
22,Tam maphrao on sen mi krop,ตำมะพร้าวอ่อนเส้นหมี่กรอบ,,,,"['A ', 'som tam', ' style salad made with the meat of a young coconut and served with crispy deep-fried thin Chinese rice noodles.\n']",A  som tam  style salad made with the meat of a young coconut and served with crispy deep-fried thin Chinese rice noodles.,Shared dishes,Salads
